Puissance,Abonnement,kWh Base,kWh Heures creuses,kWh Heures pleines
3kVA,"126,00 ?",1316,indisponible,indisponible
6kVA,"158,88 ?",1316,1109,1370
9kVA,"190,56 ?",1316,1109,1370
12kVA,"222,24 ?",1316,1109,1370
15kVA,"253,44 ?",1316,1109,1370
18kVA,"283,56 ?",1316,1109,1370
24kVA,"349,32 ?",1316,1109,1370
30kVA,"414,48 ?",1316,1109,1370
36kVA,"479,16 ?",1316,1109,1370
